"heading","first","last","file"
"Divorce (Religious Marriages) Bill [H.l.]","uk.org.publicwhip/lords/2000-07-14a.508.1","uk.org.publicwhip/lords/2000-07-14a.509.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-14a.xml"
"Seafarers’ Wages Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-11-07a.459.7","uk.org.publicwhip/lords/2022-11-07a.461.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-07a.xml"
"Violent Crime Reduction Bill","uk.org.publicwhip/lords/2006-10-25b.1275.2","uk.org.publicwhip/lords/2006-10-25b.1276.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-10-25b.xml"
"Council Tax (New Valuation Lists For England) Bill","uk.org.publicwhip/lords/2006-03-08c.761.0","uk.org.publicwhip/lords/2006-03-08c.761.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-08c.xml"
"Parliamentary Buildings (Restoration And Renewal) Bill - Third Reading","uk.org.publicwhip/lords/2019-09-05b.1232.2","uk.org.publicwhip/lords/2019-09-05b.1234.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-09-05b.xml"
"Status Of Workers Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-01-28a.554.1","uk.org.publicwhip/lords/2022-01-28a.555.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-01-28a.xml"
"Sale Of Student Loans Bill","uk.org.publicwhip/lords/2008-06-10a.489.2","uk.org.publicwhip/lords/2008-06-10a.489.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-06-10a.xml"
"Childcare Bill","uk.org.publicwhip/lords/2006-06-26d.1033.6","uk.org.publicwhip/lords/2006-06-26d.1034.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-06-26d.xml"
"Digital Economy Bill - Third Reading","uk.org.publicwhip/lords/2017-04-05b.1097.7","uk.org.publicwhip/lords/2017-04-05b.1101.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-04-05b.xml"
"Dog Control Bill [Hl]","uk.org.publicwhip/lords/2011-10-26a.756.10","uk.org.publicwhip/lords/2011-10-26a.757.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-10-26a.xml"
"Health And Care Bill - Third Reading","uk.org.publicwhip/lords/2022-03-23b.976.8","uk.org.publicwhip/lords/2022-03-23b.980.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-23b.xml"
"Northern Ireland Assembly Members Bill [Hl]","uk.org.publicwhip/lords/2010-02-24a.1023.5","uk.org.publicwhip/lords/2010-02-24a.1025.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-02-24a.xml"
"European Union (Future Relationship) Bill - Second Reading (And Remaining Stages)","uk.org.publicwhip/lords/2020-12-30b.1926.1","uk.org.publicwhip/lords/2020-12-30b.1926.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-12-30b.xml"
"Scotland Bill — Third Reading","uk.org.publicwhip/lords/2016-03-21a.2089.0","uk.org.publicwhip/lords/2016-03-21a.2091.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-03-21a.xml"
"Patents Bill [Hl]","uk.org.publicwhip/lords/2004-04-06a.1726.5","uk.org.publicwhip/lords/2004-04-06a.1727.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-04-06a.xml"
"Transport Bill","uk.org.publicwhip/lords/2000-11-09a.1762.2","uk.org.publicwhip/lords/2000-11-09a.1762.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-11-09a.xml"
"Northern Ireland Troubles (Legacy And Reconciliation) Bill - Third Reading","uk.org.publicwhip/lords/2023-07-04a.1150.1","uk.org.publicwhip/lords/2023-07-04a.1150.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-04a.xml"
"Fireworks Bill","uk.org.publicwhip/lords/2003-09-15a.665.4","uk.org.publicwhip/lords/2003-09-15a.665.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-09-15a.xml"
"Animal Welfare (Sentience) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-12-13b.15.3","uk.org.publicwhip/lords/2021-12-13b.16.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-12-13b.xml"
"Justice And Security Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2012-11-28a.196.3","uk.org.publicwhip/lords/2012-11-28a.197.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-11-28a.xml"
"Marriage (Same Sex Couples) Bill","uk.org.publicwhip/lords/2013-07-15a.539.1","uk.org.publicwhip/lords/2013-07-15a.549.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-07-15a.xml"
"Environment Bill - Third Reading","uk.org.publicwhip/lords/2021-10-13b.1840.5","uk.org.publicwhip/lords/2021-10-13b.1846.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-10-13b.xml"
"London Local Authorities And Transport For London Bill","uk.org.publicwhip/lords/2008-06-19a.1203.4","uk.org.publicwhip/lords/2008-06-19a.1209.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-06-19a.xml"
"Crime (Overseas Production Orders) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-11-20a.142.1","uk.org.publicwhip/lords/2018-11-20a.142.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-11-20a.xml"
"Humber Bridge Bill — Third Reading","uk.org.publicwhip/lords/2013-11-27a.1417.1","uk.org.publicwhip/lords/2013-11-27a.1418.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2013-11-27a.xml"
"Space Industry Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2017-11-28a.614.2","uk.org.publicwhip/lords/2017-11-28a.616.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-11-28a.xml"
"Prisons (Substance Testing) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-28b.2248.2","uk.org.publicwhip/lords/2021-04-28b.2248.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-28b.xml"
"Botulinum Toxin And Cosmetic Fillers (Children) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-28b.2248.6","uk.org.publicwhip/lords/2021-04-28b.2249.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-28b.xml"
"Education (Guidance About Costs Of School Uniforms) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-28b.2249.2","uk.org.publicwhip/lords/2021-04-28b.2249.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-28b.xml"
"Animal Welfare (Sentencing) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-28b.2250.1","uk.org.publicwhip/lords/2021-04-28b.2251.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-28b.xml"
"Civil Contingencies Bill","uk.org.publicwhip/lords/2004-11-16a.1364.1","uk.org.publicwhip/lords/2004-11-16a.1365.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-11-16a.xml"
"Domestic Violence, Crime And Victims Bill [Hl]","uk.org.publicwhip/lords/2004-03-25a.846.4","uk.org.publicwhip/lords/2004-03-25a.846.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-03-25a.xml"
"Planning And Compulsory Purchase Bill","uk.org.publicwhip/lords/2004-03-25a.946.8","uk.org.publicwhip/lords/2004-03-25a.946.9","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-03-25a.xml"
"Road Safety Bill [Hl]","uk.org.publicwhip/lords/2006-01-10c.131.2","uk.org.publicwhip/lords/2006-01-10c.131.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-10c.xml"
"Education Bill [Hl]","uk.org.publicwhip/lords/2005-03-02b.290.3","uk.org.publicwhip/lords/2005-03-02b.291.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-03-02b.xml"
"Parliament (Joint Departments) Bill [Hl]","uk.org.publicwhip/lords/2007-04-24b.560.10","uk.org.publicwhip/lords/2007-04-24b.561.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-04-24b.xml"
"Statute Law (Repeals) Bill [Hl]","uk.org.publicwhip/lords/2004-07-06a.669.2","uk.org.publicwhip/lords/2004-07-06a.669.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-06a.xml"
"Asylum And Immigration (Treatment Of Claimants, Etc.) Bill","uk.org.publicwhip/lords/2004-07-06a.786.5","uk.org.publicwhip/lords/2004-07-06a.788.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-06a.xml"
"Ballot Secrecy Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-11-30a.1783.8","uk.org.publicwhip/lords/2022-11-30a.1784.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-30a.xml"
"Learning And Skills Bill [H.l.]","uk.org.publicwhip/lords/2000-03-23a.483.0","uk.org.publicwhip/lords/2000-03-23a.483.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-03-23a.xml"
"Employment Relations (Flexible Working) Bill - Third Reading","uk.org.publicwhip/lords/2023-07-14a.1975.2","uk.org.publicwhip/lords/2023-07-14a.1976.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml"
"Equipment Theft (Prevention) Bill - Third Reading","uk.org.publicwhip/lords/2023-07-14a.1976.3","uk.org.publicwhip/lords/2023-07-14a.1979.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml"
"Child Support (Enforcement) Bill - Third Reading","uk.org.publicwhip/lords/2023-07-14a.1979.2","uk.org.publicwhip/lords/2023-07-14a.1980.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml"
"Women, Peace And Security Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-07-14a.1980.3","uk.org.publicwhip/lords/2023-07-14a.1983.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-14a.xml"
"Corporate Insolvency And Governance Bill - Third Reading","uk.org.publicwhip/lords/2020-06-23b.224.2","uk.org.publicwhip/lords/2020-06-23b.226.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-06-23b.xml"
"Offender Management Bill","uk.org.publicwhip/lords/2007-07-16b.22.0","uk.org.publicwhip/lords/2007-07-16b.25.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-07-16b.xml"
"Climate Change Bill [Hl]","uk.org.publicwhip/lords/2008-03-31a.777.2","uk.org.publicwhip/lords/2008-03-31a.779.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-03-31a.xml"
"Overseas Operations (Service Personnel And Veterans) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-19a.1650.8","uk.org.publicwhip/lords/2021-04-19a.1654.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-19a.xml"
"Financial Services Bill - Report (3rd Day) (And Remaining Stages)","uk.org.publicwhip/lords/2021-04-19a.1709.1","uk.org.publicwhip/lords/2021-04-19a.1712.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-19a.xml"
"Childcare Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2015-10-26a.975.7","uk.org.publicwhip/lords/2015-10-26a.976.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-10-26a.xml"
"Licensing (Young Persons) Bill","uk.org.publicwhip/lords/2000-11-14a.133.6","uk.org.publicwhip/lords/2000-11-14a.134.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-11-14a.xml"
"Building Societies (Funding) And Mutual Societies (Transfers) Bill","uk.org.publicwhip/lords/2007-10-12a.457.2","uk.org.publicwhip/lords/2007-10-12a.460.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-10-12a.xml"
"Northern Ireland (Executive Formation Etc) Bill - Third Reading","uk.org.publicwhip/lords/2022-12-05b.84.6","uk.org.publicwhip/lords/2022-12-05b.84.7","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-12-05b.xml"
"Equality Bill [Hl]","uk.org.publicwhip/lords/2003-05-09a.1313.2","uk.org.publicwhip/lords/2003-05-09a.1313.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-05-09a.xml"
"Energy Bill","uk.org.publicwhip/lords/2008-11-05a.272.2","uk.org.publicwhip/lords/2008-11-05a.273.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-11-05a.xml"
"Retained Eu Law (Revocation And Reform) Bill - Third Reading","uk.org.publicwhip/lords/2023-05-22a.610.5","uk.org.publicwhip/lords/2023-05-22a.614.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-05-22a.xml"
"European Union (Withdrawal Agreement) Bill - Third Reading","uk.org.publicwhip/lords/2020-01-21b.1091.1","uk.org.publicwhip/lords/2020-01-21b.1094.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-01-21b.xml"
"Birmingham Commonwealth Games Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2019-10-23b.612.2","uk.org.publicwhip/lords/2019-10-23b.613.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-10-23b.xml"
"Counsellors Of State Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-11-23b.1435.5","uk.org.publicwhip/lords/2022-11-23b.1436.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-11-23b.xml"
"Parliamentary Standards Bill","uk.org.publicwhip/lords/2009-07-20a.1504.2","uk.org.publicwhip/lords/2009-07-20a.1506.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-07-20a.xml"
"Rating (Property In Common Occupation) And Council Tax (Empty Dwellings) Bill - Third Reading","uk.org.publicwhip/lords/2018-07-18a.1227.2","uk.org.publicwhip/lords/2018-07-18a.1228.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-07-18a.xml"
"Nhs Redress Bill [Hl]","uk.org.publicwhip/lords/2006-03-01c.257.5","uk.org.publicwhip/lords/2006-03-01c.257.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-01c.xml"
"Local Democracy, Economic Development And Construction Bill [Hl]","uk.org.publicwhip/lords/2009-04-29a.258.0","uk.org.publicwhip/lords/2009-04-29a.261.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-04-29a.xml"
"Skills And Post-16 Education Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-10-25c.548.1","uk.org.publicwhip/lords/2021-10-25c.550.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-10-25c.xml"
"Health And Social Care Bill","uk.org.publicwhip/lords/2012-03-19a.704.0","uk.org.publicwhip/lords/2012-03-19a.717.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2012-03-19a.xml"
"Royal Parks (Trading) Bill","uk.org.publicwhip/lords/2000-07-13a.379.6","uk.org.publicwhip/lords/2000-07-13a.380.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-13a.xml"
"Mersey Tunnels Bill","uk.org.publicwhip/lords/2004-06-28a.117.3","uk.org.publicwhip/lords/2004-06-28a.122.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-06-28a.xml"
"Data Protection Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2018-01-17a.665.5","uk.org.publicwhip/lords/2018-01-17a.668.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-01-17a.xml"
"Enterprise Bill","uk.org.publicwhip/lords/2002-10-28a.86.3","uk.org.publicwhip/lords/2002-10-28a.86.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-10-28a.xml"
"Private Hire Vehicles (Carriage Of Guide Dogs Etc.) Bill","uk.org.publicwhip/lords/2002-11-01a.423.2","uk.org.publicwhip/lords/2002-11-01a.423.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2002-11-01a.xml"
"Social Security (Up-Rating Of Benefits) Bill - Third Reading","uk.org.publicwhip/lords/2021-11-08b.1445.8","uk.org.publicwhip/lords/2021-11-08b.1448.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-11-08b.xml"
"Judicial Review And Courts Bill - Third Reading","uk.org.publicwhip/lords/2022-04-06c.2089.4","uk.org.publicwhip/lords/2022-04-06c.2091.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-04-06c.xml"
"Armed Forces Bill - Third Reading","uk.org.publicwhip/lords/2021-11-29b.1135.6","uk.org.publicwhip/lords/2021-11-29b.1138.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-11-29b.xml"
"Vehicles (Crime) Bill","uk.org.publicwhip/lords/2001-03-27a.142.0","uk.org.publicwhip/lords/2001-03-27a.143.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-03-27a.xml"
"Financial Services And Markets Bill - Third Reading","uk.org.publicwhip/lords/2023-06-19a.17.6","uk.org.publicwhip/lords/2023-06-19a.19.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-19a.xml"
"Work And Families Bill","uk.org.publicwhip/lords/2006-05-08b.708.0","uk.org.publicwhip/lords/2006-05-08b.708.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-08b.xml"
"Dormant Assets Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2021-11-23b.740.2","uk.org.publicwhip/lords/2021-11-23b.742.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-11-23b.xml"
"Cities And Local Government Devolution Bill [Hl]","uk.org.publicwhip/lords/2015-07-21a.1057.0","uk.org.publicwhip/lords/2015-07-21a.1058.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-07-21a.xml"
"Refugees (Family Reunion) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-18b.571.6","uk.org.publicwhip/lords/2022-03-18b.573.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml"
"Onshore Wind Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-18b.573.2","uk.org.publicwhip/lords/2022-03-18b.575.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml"
"Cigarette Stick Health Warnings Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2022-03-18b.575.2","uk.org.publicwhip/lords/2022-03-18b.577.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml"
"Non-Domestic Rating (Lists) (No. 2) Bill - Third Reading","uk.org.publicwhip/lords/2021-03-09a.1489.3","uk.org.publicwhip/lords/2021-03-09a.1492.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-09a.xml"
"Illegal Migration Bill - Third Reading","uk.org.publicwhip/lords/2023-07-10a.1521.1","uk.org.publicwhip/lords/2023-07-10a.1529.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-07-10a.xml"
"Mobile Homes (Pitch Fees) Bill - Third Reading","uk.org.publicwhip/lords/2023-03-24a.1959.5","uk.org.publicwhip/lords/2023-03-24a.1960.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-03-24a.xml"
"Universal Credit (Removal Of Two Child Limit) Bill [Hl] - Third Reading","uk.org.publicwhip/lords/2023-03-24a.1960.3","uk.org.publicwhip/lords/2023-03-24a.1964.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-03-24a.xml"
"British Overseas Territories Bill [Hl]","uk.org.publicwhip/lords/2001-10-30a.1299.4","uk.org.publicwhip/lords/2001-10-30a.1301.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-10-30a.xml"
"Utilities Bill","uk.org.publicwhip/lords/2000-07-11a.167.4","uk.org.publicwhip/lords/2000-07-11a.167.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-11a.xml"
"Postal Services Bill","uk.org.publicwhip/lords/2000-07-11a.195.0","uk.org.publicwhip/lords/2000-07-11a.196.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-07-11a.xml"
"National Lottery (Funding Of Endowments) Bill","uk.org.publicwhip/lords/2003-09-16a.768.4","uk.org.publicwhip/lords/2003-09-16a.768.5","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-09-16a.xml"
"Immigration Bill - Third Reading","uk.org.publicwhip/lords/2016-04-12b.162.2","uk.org.publicwhip/lords/2016-04-12b.164.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2016-04-12b.xml"
"Beverley Freemen Bill [Hl] — Third Reading","uk.org.publicwhip/lords/2009-11-25a.367.4","uk.org.publicwhip/lords/2009-11-25a.367.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2009-11-25a.xml"
"Constitutional Reform Bill [Hl]","uk.org.publicwhip/lords/2004-12-20a.1625.5","uk.org.publicwhip/lords/2004-12-20a.1625.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-12-20a.xml"
"Dealing In Cultural Objects (Offences) Bill","uk.org.publicwhip/lords/2003-10-10a.545.5","uk.org.publicwhip/lords/2003-10-10a.547.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-10-10a.xml"
