"heading","first","last","file"
"Trade (Australia And New Zealand) Bill - Third Reading","uk.org.publicwhip/lords/2023-03-20c.1548.1","uk.org.publicwhip/lords/2023-03-20c.1553.0","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-03-20c.xml"
"Human Fertilisation And Embryology Bill [Hl]","uk.org.publicwhip/lords/2008-02-04b.905.3","uk.org.publicwhip/lords/2008-02-04b.905.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-02-04b.xml"
"Dissolution And Calling Of Parliament Bill - Third Reading","uk.org.publicwhip/lords/2022-02-24b.348.1","uk.org.publicwhip/lords/2022-02-24b.349.2","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-02-24b.xml"
"Immigration Bill — Third Reading","uk.org.publicwhip/lords/2014-05-06a.1419.0","uk.org.publicwhip/lords/2014-05-06a.1421.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-05-06a.xml"
"British Library Board (Power To Borrow) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-26a.2088.2","uk.org.publicwhip/lords/2021-04-26a.2088.4","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-26a.xml"
"Education And Training (Welfare Of Children) Bill - Third Reading","uk.org.publicwhip/lords/2021-04-26a.2088.6","uk.org.publicwhip/lords/2021-04-26a.2088.8","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-04-26a.xml"
"National Security Bill - Third Reading","uk.org.publicwhip/lords/2023-03-13a.1093.3","uk.org.publicwhip/lords/2023-03-13a.1095.3","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-03-13a.xml"
"Domestic Abuse Bill - Third Reading","uk.org.publicwhip/lords/2021-03-24a.849.2","uk.org.publicwhip/lords/2021-03-24a.856.1","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2021-03-24a.xml"
"Education And Inspections Bill","uk.org.publicwhip/lords/2006-10-30c.1.330","uk.org.publicwhip/lords/2006-10-30c.1.331","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-10-30c.xml"
"Wild Animals In Circuses (No. 2) Bill - Third Reading","uk.org.publicwhip/lords/2019-07-23c.673.3","uk.org.publicwhip/lords/2019-07-23c.673.6","/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-07-23c.xml"
