heading,first,last,file,leg_title,notes,already_checked
Natural Environment And Rural Communities Bill,uk.org.publicwhip/lords/2005-11-07b.396.1,uk.org.publicwhip/lords/2005-11-07b.407.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-07b.xml,Natural Environment and Rural Communities Act 2006,,1
Regulatory Enforcement And Sanctions Bill [Hl],uk.org.publicwhip/lords/2007-11-28b.1236.6,uk.org.publicwhip/lords/2007-11-28b.1282.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-11-28b.xml,Regulatory Enforcement and Sanctions Act 2008,,1
Climate Change And Sustainable Energy Bill,uk.org.publicwhip/lords/2006-05-25b.1006.1,uk.org.publicwhip/lords/2006-05-25b.1032.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-25b.xml,Climate Change and Sustainable Energy Act 2006,,1
Whitehaven Harbour Bill [Hl],uk.org.publicwhip/lords/2006-02-08c.658.5,uk.org.publicwhip/lords/2006-02-08c.658.6,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-02-08c.xml,NA,,1
Children And Adoption Bill [Hl],uk.org.publicwhip/lords/2005-06-29b.248.10,uk.org.publicwhip/lords/2005-06-29b.294.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-06-29b.xml,Children and Adoption Act 2006,,1
Pension Schemes Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2020-01-28a.1351.1,uk.org.publicwhip/lords/2020-01-28a.1415.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-01-28a.xml,Pension Schemes Act 2021,,1
Sanctions And Anti-Money Laundering Bill [Hl] - Second Reading,uk.org.publicwhip/lords/2017-11-01c.1373.3,uk.org.publicwhip/lords/2017-11-01c.1419.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2017-11-01c.xml,Sanctions and Anti-Money Laundering Act 2018,,1
European Union (Amendment) Bill,uk.org.publicwhip/lords/2008-04-01a.861.1,uk.org.publicwhip/lords/2008-04-01a.1038.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-04-01a.xml,European Union (Amendment) Act 2008,,1
Marine Navigation Aids Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2011-01-21a.613.3,uk.org.publicwhip/lords/2011-01-21a.636.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-01-21a.xml,NA,NA,NA
Rehabilitation Of Offenders (Amendment) Bill [Hl] — Second Reading,uk.org.publicwhip/lords/2011-01-21a.636.1,uk.org.publicwhip/lords/2011-01-21a.670.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-01-21a.xml,NA,NA,NA
Cultural Objects (Protection From Seizure) Bill - Second Reading,uk.org.publicwhip/lords/2022-03-18b.577.1,uk.org.publicwhip/lords/2022-03-18b.589.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml,Cultural Objects (Protection from Seizure) Act 2022,,1
Down Syndrome Bill - Second Reading,uk.org.publicwhip/lords/2022-03-18b.589.2,uk.org.publicwhip/lords/2022-03-18b.618.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml,Down Syndrome Act 2022,,1
Motor Vehicles (Compulsory Insurance) Bill - Second Reading,uk.org.publicwhip/lords/2022-03-18b.618.1,uk.org.publicwhip/lords/2022-03-18b.623.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml,Motor Vehicles (Compulsory Insurance) Act 2022,,1
Animals (Penalty Notices) Bill - Second Reading,uk.org.publicwhip/lords/2022-03-18b.623.2,uk.org.publicwhip/lords/2022-03-18b.636.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml,Animals (Penalty Notices) Act 2022,,1
Prisoners (Disclosure Of Information About Victims) Bill - Second Reading,uk.org.publicwhip/lords/2020-04-28b.194.1,uk.org.publicwhip/lords/2020-04-28b.217.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2020-04-28b.xml,Prisoners (Disclosure of Information About Victims) Act 2020,,1
Second Reading,uk.org.publicwhip/lords/2011-11-08a.167.6,uk.org.publicwhip/lords/2011-11-08a.227.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-11-08a.xml,Protection of Freedoms Act 2012,NA,NA
Work And Families Bill,uk.org.publicwhip/lords/2006-02-14b.1089.4,uk.org.publicwhip/lords/2006-02-14b.1126.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-02-14b.xml,Work and Families Act 2006,,1
Serious Crime Bill [Hl],uk.org.publicwhip/lords/2007-02-07b.701.119,uk.org.publicwhip/lords/2007-02-07b.701.135,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2007-02-07b.xml,Serious Crime Act 2007,,1
Second Reading,uk.org.publicwhip/lords/2015-10-23a.875.5,uk.org.publicwhip/lords/2015-10-23a.908.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-10-23a.xml,NA,,1
Second Reading,uk.org.publicwhip/lords/2015-10-23a.908.3,uk.org.publicwhip/lords/2015-10-23a.946.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-10-23a.xml,NA,,1
Second Reading,uk.org.publicwhip/lords/2015-10-23a.946.3,uk.org.publicwhip/lords/2015-10-23a.964.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-10-23a.xml,NA,,1
Second Reading,uk.org.publicwhip/lords/2011-06-10a.488.5,uk.org.publicwhip/lords/2011-06-10a.514.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-10a.xml,NA,NA,NA
Second Reading,uk.org.publicwhip/lords/2011-06-10a.514.3,uk.org.publicwhip/lords/2011-06-10a.530.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2011-06-10a.xml,NA,NA,NA
Nationality And Borders Bill - Second Reading,uk.org.publicwhip/lords/2022-01-05c.571.7,uk.org.publicwhip/lords/2022-01-05c.670.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-01-05c.xml,Nationality and Borders Act 2022,,1
