heading,first,last,file,leg_title
Children (Leaving Care) Bill [H.l.],uk.org.publicwhip/lords/2000-05-22a.487.5,uk.org.publicwhip/lords/2000-05-22a.488.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2000-05-22a.xml,Children (Leaving Care) Act 2000
Children Act 1989 (Amendment) (Female Genital Mutilation) Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2018-11-19d.12.6,uk.org.publicwhip/lords/2018-11-19d.12.8,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-11-19d.xml,Children Act 1989 (Amendment) (Female Genital Mutilation) Act 2019
Children And Adoption Bill [Hl],uk.org.publicwhip/lords/2005-11-29c.206.2,uk.org.publicwhip/lords/2005-11-29c.206.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-11-29c.xml,Children and Adoption Act 2006
Cigarette Stick Health Warnings Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2022-03-18b.575.2,uk.org.publicwhip/lords/2022-03-18b.577.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-18b.xml,NA
Cities And Local Government Devolution Bill [Hl],uk.org.publicwhip/lords/2015-07-21a.1057.0,uk.org.publicwhip/lords/2015-07-21a.1058.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2015-07-21a.xml,Cities and Local Government Devolution Act 2016
Citizenship (Armed Forces) Bill,uk.org.publicwhip/lords/2014-03-04a.1223.3,uk.org.publicwhip/lords/2014-03-04a.1223.5,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2014-03-04a.xml,Citizenship (Armed Forces) Act 2014
Civil Aviation Bill,uk.org.publicwhip/lords/2006-03-28b.721.0,uk.org.publicwhip/lords/2006-03-28b.721.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-28b.xml,Civil Aviation Act 2006
Civil Contingencies Bill,uk.org.publicwhip/lords/2004-11-16a.1364.1,uk.org.publicwhip/lords/2004-11-16a.1365.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-11-16a.xml,Civil Contingencies Act 2004
Civil Liability Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2018-06-27b.198.3,uk.org.publicwhip/lords/2018-06-27b.201.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2018-06-27b.xml,Civil Liability Act 2018
Civil Partnership Bill,uk.org.publicwhip/lords/2004-07-01a.429.2,uk.org.publicwhip/lords/2004-07-01a.430.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-01a.xml,Civil Partnership Act 2004
"Civil Partnerships, Marriages And Deaths (Registration Etc) Bill - Third Reading",uk.org.publicwhip/lords/2019-03-07a.726.5,uk.org.publicwhip/lords/2019-03-07a.727.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2019-03-07a.xml,"Civil Partnerships, Marriages and Deaths (Registration etc) Act 2019"
Clean Air (Human Rights) Bill [Hl] - Third Reading,uk.org.publicwhip/lords/2022-12-02a.1981.2,uk.org.publicwhip/lords/2022-12-02a.1983.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-12-02a.xml,NA
Clean Neighbourhoods And Environment Bill,uk.org.publicwhip/lords/2005-04-06b.796.2,uk.org.publicwhip/lords/2005-04-06b.797.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-06b.xml,Clean Neighbourhoods and Environment Act 2005
Climate Change Bill [Hl],uk.org.publicwhip/lords/2008-03-31a.777.2,uk.org.publicwhip/lords/2008-03-31a.779.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2008-03-31a.xml,Climate Change Act 2008
Cluster Munitions (Prohibitions) Bill [Hl],uk.org.publicwhip/lords/2010-02-08a.480.10,uk.org.publicwhip/lords/2010-02-08a.481.3,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-02-08a.xml,Cluster Munitions (Prohibitions) Act 2010
Co-Operative And Community Benefit Societies And Credit Unions Bill [Hl],uk.org.publicwhip/lords/2010-01-14a.691.7,uk.org.publicwhip/lords/2010-01-14a.692.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2010-01-14a.xml,Co-operative and Community Benefit Societies and Credit Unions Act 2010
"Co-Operatives, Mutuals And Friendly Societies Bill - Third Reading",uk.org.publicwhip/lords/2023-06-16b.2198.3,uk.org.publicwhip/lords/2023-06-16b.2200.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2023-06-16b.xml,"Co-operatives, Mutuals and Friendly Societies Act 2023"
Commercial Rent (Coronavirus) Bill - Third Reading,uk.org.publicwhip/lords/2022-03-15a.173.4,uk.org.publicwhip/lords/2022-03-15a.176.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2022-03-15a.xml,Commercial Rent (Coronavirus) Act 2022
Commissioner For Older People (Wales) Bill [Hl],uk.org.publicwhip/lords/2006-02-15c.1252.0,uk.org.publicwhip/lords/2006-02-15c.1252.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-02-15c.xml,Commissioner for Older People (Wales) Act 2006
Commissioners For Revenue And Customs Bill,uk.org.publicwhip/lords/2005-04-05b.677.2,uk.org.publicwhip/lords/2005-04-05b.677.4,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2005-04-05b.xml,Commissioners for Revenue and Customs Act 2005
Commonhold And Leasehold Reform Bill [Hl],uk.org.publicwhip/lords/2001-11-19a.945.2,uk.org.publicwhip/lords/2001-11-19a.947.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2001-11-19a.xml,Commonhold and Leasehold Reform Act 2002
Commons Bill [Hl],uk.org.publicwhip/lords/2006-01-18c.717.4,uk.org.publicwhip/lords/2006-01-18c.718.2,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-01-18c.xml,Commons Act 2006
Communications Bill,uk.org.publicwhip/lords/2003-07-08a.257.2,uk.org.publicwhip/lords/2003-07-08a.261.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-07-08a.xml,Communications Act 2003
Community Care (Delayed Discharges Etc.) Bill,uk.org.publicwhip/lords/2003-03-17a.42.0,uk.org.publicwhip/lords/2003-03-17a.42.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2003-03-17a.xml,Community Care (Delayed Discharges etc.) Act 2003 (repealed)
"Companies (Audit, Investigations And Community Enterprise) Bill [Hl]",uk.org.publicwhip/lords/2004-07-14a.1296.0,uk.org.publicwhip/lords/2004-07-14a.1297.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-07-14a.xml,"Companies (Audit, Investigations and Community Enterprise) Act 2004"
Company Law Reform Bill [Hl],uk.org.publicwhip/lords/2006-05-23b.793.1,uk.org.publicwhip/lords/2006-05-23b.797.0,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-05-23b.xml,NA
Compensation Bill [Hl],uk.org.publicwhip/lords/2006-03-27b.575.3,uk.org.publicwhip/lords/2006-03-27b.577.1,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2006-03-27b.xml,Compensation Act 2006
Constitutional Reform Bill [Hl],uk.org.publicwhip/lords/2004-12-20a.1625.5,uk.org.publicwhip/lords/2004-12-20a.1625.6,/mnt/003b6650-3320-4dbb-9c9e-ff84cfef882f/home/chris/Documents/lords_tfs/scrapedxml/lordspages/daylord2004-12-20a.xml,Constitutional Reform Act 2005
