"wikidata_id","twfy_id"
"http://www.wikidata.org/entity/Q5637371","uk.org.publicwhip/cons/1208"
"http://www.wikidata.org/entity/Q6670993","uk.org.publicwhip/cons/1132"
"http://www.wikidata.org/entity/Q5422600","uk.org.publicwhip/cons/892"
"http://www.wikidata.org/entity/Q874488","uk.org.publicwhip/cons/599"
"http://www.wikidata.org/entity/Q43288260","uk.org.publicwhip/cons/780"
"http://www.wikidata.org/entity/Q3238953","uk.org.publicwhip/cons/116"
"http://www.wikidata.org/entity/Q7896553","uk.org.publicwhip/cons/1708"
"http://www.wikidata.org/entity/Q1077552","uk.org.publicwhip/cons/309"
"http://www.wikidata.org/entity/Q750841","uk.org.publicwhip/cons/654"
"http://www.wikidata.org/entity/Q5566864","uk.org.publicwhip/cons/247"
"http://www.wikidata.org/entity/Q4916756","uk.org.publicwhip/cons/1570"
"http://www.wikidata.org/entity/Q1072896","uk.org.publicwhip/cons/165"
"http://www.wikidata.org/entity/Q7330751","uk.org.publicwhip/cons/1608"
"http://www.wikidata.org/entity/Q4777327","uk.org.publicwhip/cons/2039"
"http://www.wikidata.org/entity/Q5046870","uk.org.publicwhip/cons/1652"
"http://www.wikidata.org/entity/Q42890905","uk.org.publicwhip/cons/1259"
"http://www.wikidata.org/entity/Q7982182","uk.org.publicwhip/cons/1623"
"http://www.wikidata.org/entity/Q1080502","uk.org.publicwhip/cons/172"
"http://www.wikidata.org/entity/Q4898089","uk.org.publicwhip/cons/1199"
"http://www.wikidata.org/entity/Q7595041","uk.org.publicwhip/cons/1229"
"http://www.wikidata.org/entity/Q6520375","uk.org.publicwhip/cons/1681"
"http://www.wikidata.org/entity/Q1053007","uk.org.publicwhip/cons/393"
"http://www.wikidata.org/entity/Q1070045","uk.org.publicwhip/cons/211"
"http://www.wikidata.org/entity/Q43291494","uk.org.publicwhip/cons/1207"
"http://www.wikidata.org/entity/Q7828455","uk.org.publicwhip/cons/1618"
"http://www.wikidata.org/entity/Q42968338","uk.org.publicwhip/cons/759"
"http://www.wikidata.org/entity/Q874300","uk.org.publicwhip/cons/637"
"http://www.wikidata.org/entity/Q7595044","uk.org.publicwhip/cons/1544"
"http://www.wikidata.org/entity/Q751233","uk.org.publicwhip/cons/16"
"http://www.wikidata.org/entity/Q1075910","uk.org.publicwhip/cons/132"
"http://www.wikidata.org/entity/Q875210","uk.org.publicwhip/cons/589"
"http://www.wikidata.org/entity/Q6658485","uk.org.publicwhip/cons/1267"
"http://www.wikidata.org/entity/Q5596622","uk.org.publicwhip/cons/895"
"http://www.wikidata.org/entity/Q1072660","uk.org.publicwhip/cons/747"
"http://www.wikidata.org/entity/Q750677","uk.org.publicwhip/cons/657"
"http://www.wikidata.org/entity/Q1080341","uk.org.publicwhip/cons/69"
"http://www.wikidata.org/entity/Q6658422","uk.org.publicwhip/cons/1265"
"http://www.wikidata.org/entity/Q988399","uk.org.publicwhip/cons/546"
