id,item,itemLabel.x,itemLabel.y,nuniq_id2item,nuniq_item2id
uk.org.publicwhip/person/19526,http://www.wikidata.org/entity/Q5499046,Frederick Willey,Frederick Willey,1,1
uk.org.publicwhip/person/19712,http://www.wikidata.org/entity/Q5499143,Frederick Wise,"Frederick Wise, 1st Baron Wise",1,1
uk.org.publicwhip/person/25727,http://www.wikidata.org/entity/Q55003337,Janet Daby,Janet Daby,1,1
uk.org.publicwhip/person/25750,http://www.wikidata.org/entity/Q5522788,Gareth Bacon,Gareth Bacon,1,1
uk.org.publicwhip/person/10593,http://www.wikidata.org/entity/Q5522982,Gareth Thomas,Gareth Thomas,1,1
uk.org.publicwhip/person/22686,http://www.wikidata.org/entity/Q5522991,Gareth Wardell,Gareth Wardell,1,1
uk.org.publicwhip/person/16460,http://www.wikidata.org/entity/Q5524091,Garry Allighan,Garry Allighan,1,1
uk.org.publicwhip/person/19438,http://www.wikidata.org/entity/Q5526104,Gary Waller,Gary Waller,1,1
uk.org.publicwhip/person/25280,http://www.wikidata.org/entity/Q5528262,Gavin Robinson,Gavin Robinson,1,1
uk.org.publicwhip/person/16658,http://www.wikidata.org/entity/Q5534452,Geoffrey Bing,Geoffrey Bing,1,1
uk.org.publicwhip/person/22511,http://www.wikidata.org/entity/Q5534526,Geoffrey Clifton-Brown,Geoffrey Clifton-Brown,1,1
uk.org.publicwhip/person/22510,http://www.wikidata.org/entity/Q5534538,Geoffrey Cooper,Geoffrey Cooper,1,1
uk.org.publicwhip/person/16395,http://www.wikidata.org/entity/Q5534564,Geoffrey Dickens,Geoffrey Dickens,1,1
uk.org.publicwhip/person/17191,http://www.wikidata.org/entity/Q5534566,Geoffrey Dodsworth,Geoffrey Dodsworth,1,1
uk.org.publicwhip/person/17291,http://www.wikidata.org/entity/Q5534581,Geoffrey Edge,Geoffrey Edge,1,1
uk.org.publicwhip/person/17799,http://www.wikidata.org/entity/Q5534669,Geoffrey Hirst,Geoffrey Hirst,1,1
uk.org.publicwhip/person/21811,http://www.wikidata.org/entity/Q5534691,Geoffrey Hutchinson,Geoffrey Hutchinson,1,1
uk.org.publicwhip/person/10316,http://www.wikidata.org/entity/Q5534714,Geoffrey Johnson Smith,Geoffrey Johnson Smith,1,1
uk.org.publicwhip/person/18066,http://www.wikidata.org/entity/Q5534738,Geoffrey Lawler,Geoffrey Lawler,1,1
uk.org.publicwhip/person/18719,http://www.wikidata.org/entity/Q5534818,Geoffrey Pattie,Geoffrey Pattie,1,1
uk.org.publicwhip/person/18912,http://www.wikidata.org/entity/Q5534861,Geoffrey Rhodes,Geoffrey Rhodes,1,1
uk.org.publicwhip/person/18935,http://www.wikidata.org/entity/Q5534874,Geoffrey Rippon,Geoffrey Rippon,1,1
uk.org.publicwhip/person/19196,http://www.wikidata.org/entity/Q5534912,Geoffrey Stevens,Geoffrey Stevens,1,1
uk.org.publicwhip/person/19202,http://www.wikidata.org/entity/Q5534913,Geoffrey Stewart-Smith,Geoffrey Stewart-Smith,1,1
uk.org.publicwhip/person/21891,http://www.wikidata.org/entity/Q5534976,Hugh Wilson,Geoffrey Wilson,1,1
uk.org.publicwhip/person/21817,http://www.wikidata.org/entity/Q5536908,George Benson,George Benson,1,1
uk.org.publicwhip/person/16796,http://www.wikidata.org/entity/Q5537264,George Broadbridge,"George Broadbridge, 1st Baron Broadbridge",1,1
uk.org.publicwhip/person/21816,http://www.wikidata.org/entity/Q5537384,George Buchanan,George Buchanan,1,1
uk.org.publicwhip/person/16427,http://www.wikidata.org/entity/Q5537392,George Buckley,George Buckley,1,1
uk.org.publicwhip/person/16943,http://www.wikidata.org/entity/Q5537854,George Chetwynd,George Chetwynd,1,1
uk.org.publicwhip/person/17066,http://www.wikidata.org/entity/Q5538188,George Craddock,George Craddock,1,1
uk.org.publicwhip/person/22512,http://www.wikidata.org/entity/Q5538276,George Cunningham,George Cunningham,1,1
uk.org.publicwhip/person/22253,http://www.wikidata.org/entity/Q5538277,George Currie,George Currie,1,1
uk.org.publicwhip/person/17119,http://www.wikidata.org/entity/Q5538345,George Daggar,George Daggar,1,1
uk.org.publicwhip/person/21813,http://www.wikidata.org/entity/Q5538381,George Darling,George Darling,1,1
uk.org.publicwhip/person/17159,http://www.wikidata.org/entity/Q5538469,George Deer,George Deer,1,1
uk.org.publicwhip/person/17446,http://www.wikidata.org/entity/Q5539361,George Forrest,George Forrest,1,1
uk.org.publicwhip/person/22514,http://www.wikidata.org/entity/Q5539615,George Gardiner,George Gardiner,1,1
uk.org.publicwhip/person/21815,http://www.wikidata.org/entity/Q5539851,George Grant,George Grant,1,1
