speaker,person_id,wikidata,name2use
uk.org.publicwhip/lord/100913,uk.org.publicwhip/person/13725,Q137911,Joyce Quin
uk.org.publicwhip/lord/100519,uk.org.publicwhip/person/13691,Q137941,Meta Ramsay
uk.org.publicwhip/lord/100456,uk.org.publicwhip/person/13689,Q137955,Donald Nicholls
uk.org.publicwhip/lord/100549,uk.org.publicwhip/person/10511,Q1379995,Jeff Rooker
uk.org.publicwhip/lord/100983,uk.org.publicwhip/person/14140,Q138185,Paul Myners
uk.org.publicwhip/lord/100518,uk.org.publicwhip/person/10495,Q138192,Giles Radice
uk.org.publicwhip/lord/100610,uk.org.publicwhip/person/13385,Q138207,Vivien Stern
uk.org.publicwhip/lord/100114,uk.org.publicwhip/person/13014,Q1412195,Peter Chadlington
uk.org.publicwhip/lord/100189,uk.org.publicwhip/person/13003,Q1416153,Murray Elder
uk.org.publicwhip/lord/100233,uk.org.publicwhip/person/13060,Q1418483,Geraint Geraint
uk.org.publicwhip/lord/100064,uk.org.publicwhip/person/12985,Q1419462,Terence Boston
uk.org.publicwhip/lord/100207,uk.org.publicwhip/person/12847,Q1422305,Richard Faulkner
uk.org.publicwhip/lord/101055,uk.org.publicwhip/person/25002,Q1423814,Kathryn Jane Parminter
uk.org.publicwhip/lord/101056,uk.org.publicwhip/person/25006,Q1424230,Kenneth Donald John Macdonald
uk.org.publicwhip/lord/100435,uk.org.publicwhip/person/13287,Q1434420,John Monson
uk.org.publicwhip/lord/100315,uk.org.publicwhip/person/13354,Q1442056,John Hunt
uk.org.publicwhip/lord/100341,uk.org.publicwhip/person/12989,Q1443517,Frank Judd
uk.org.publicwhip/lord/101177,uk.org.publicwhip/person/25197,Q14556956,Rumi Verjee
uk.org.publicwhip/lord/100648,uk.org.publicwhip/person/13535,Q1464939,Bill Ind 
uk.org.publicwhip/lord/100613,uk.org.publicwhip/person/13386,Q1474995,Ian Stewartby / Ian Stewart
uk.org.publicwhip/lord/100340,uk.org.publicwhip/person/12990,Q1482196,Bill Jordan
uk.org.publicwhip/lord/100163,uk.org.publicwhip/person/13396,Q1494208,Garfield Davies
uk.org.publicwhip/lord/100407,uk.org.publicwhip/person/10396,Q1494468,Robert Maclennan / Bob Maclennan
uk.org.publicwhip/lord/101013,uk.org.publicwhip/person/24976,Q1494837,Alastair Llewellyn John Redfern 
uk.org.publicwhip/lord/101079,uk.org.publicwhip/person/25024,Q1496611,Michael John Dobbs
uk.org.publicwhip/lord/100995,uk.org.publicwhip/person/24693,Q1498629,Michael Arthur Hill 
uk.org.publicwhip/lord/100400,uk.org.publicwhip/person/13121,Q1502237,Genista McIntosh
uk.org.publicwhip/lord/101021,uk.org.publicwhip/person/24986,Q1502637,Roy Francis Kennedy
uk.org.publicwhip/lord/100362,uk.org.publicwhip/person/13383,Q1503018,Geoffrey Lane
uk.org.publicwhip/lord/100383,uk.org.publicwhip/person/13131,Q1503024,Geoffrey Lofthouse
uk.org.publicwhip/lord/100014,uk.org.publicwhip/person/13109,Q1503047,Geoffrey Ampthill
uk.org.publicwhip/lord/100644,uk.org.publicwhip/person/13539,Q1503054,Geoffrey Tordoff
uk.org.publicwhip/lord/100852,uk.org.publicwhip/person/10211,Q1507362,George Foulkes
uk.org.publicwhip/lord/100405,uk.org.publicwhip/person/13126,Q1507828,George Mackie
uk.org.publicwhip/lord/101115,uk.org.publicwhip/person/25062,Q1507835,George Morgan Magan
uk.org.publicwhip/lord/100918,uk.org.publicwhip/person/13729,Q1507845,Charles Leach
uk.org.publicwhip/lord/100206,uk.org.publicwhip/person/12846,Q1508303,Josie Farrington
uk.org.publicwhip/lord/101116,uk.org.publicwhip/person/25065,Q1520078,Michael Ian Grade
uk.org.publicwhip/lord/100332,uk.org.publicwhip/person/12857,Q15229376,Lena Jeger
uk.org.publicwhip/lord/100248,uk.org.publicwhip/person/12914,Q1524272,Giles Goschen
uk.org.publicwhip/lord/100038,uk.org.publicwhip/person/13512,Q1524441,Steve Bassam
uk.org.publicwhip/lord/100640,uk.org.publicwhip/person/13543,Q1531195,Glenys Thornton
uk.org.publicwhip/lord/100474,uk.org.publicwhip/person/13161,Q1533969,Sally Oppenheim-Barnes
uk.org.publicwhip/lord/100614,uk.org.publicwhip/person/13389,Q1537073,Johan Steyn
uk.org.publicwhip/lord/100063,uk.org.publicwhip/person/12980,Q1537979,Gordon Borrie
uk.org.publicwhip/lord/100600,uk.org.publicwhip/person/13653,Q1538110,Gordon Slynn
uk.org.publicwhip/lord/101094,uk.org.publicwhip/person/25037,Q1538118,Gordon Joshua Wasserman
uk.org.publicwhip/lord/100229,uk.org.publicwhip/person/13304,Q1539814,Rachael Gardner
uk.org.publicwhip/lord/100965,uk.org.publicwhip/person/13941,Q1541911,Geoffrey Graham Dow 
uk.org.publicwhip/lord/100353,uk.org.publicwhip/person/13219,Q1541936,Graham Kirkham
uk.org.publicwhip/lord/100818,uk.org.publicwhip/person/12844,Q1541951,Graham Richard James 
uk.org.publicwhip/lord/100643,uk.org.publicwhip/person/13542,Q1541974,Graham Tope
uk.org.publicwhip/lord/101028,uk.org.publicwhip/person/24989,Q1542189,Rita Margaret Donaghy
uk.org.publicwhip/lord/100329,uk.org.publicwhip/person/12963,Q1546121,Greville Janner
uk.org.publicwhip/lord/100321,uk.org.publicwhip/person/13485,Q1548147,Raymond Hylton
uk.org.publicwhip/lord/101070,uk.org.publicwhip/person/25012,Q1549580,Michael Charles Williams
uk.org.publicwhip/lord/100008,uk.org.publicwhip/person/13380,Q15513253,Robert Alexander
uk.org.publicwhip/lord/101120,uk.org.publicwhip/person/25055,Q1554203,Gulam Kaderbhoy Noon
uk.org.publicwhip/lord/100395,uk.org.publicwhip/person/13565,Q1555319,Gus Macdonald
uk.org.publicwhip/lord/101140,uk.org.publicwhip/person/25152,Q1555325,Gus O'Donnell
uk.org.publicwhip/lord/101190,uk.org.publicwhip/person/25210,Q1556278,James Rudolph Palumbo
uk.org.publicwhip/lord/100513,uk.org.publicwhip/person/13694,Q1557879,Gwilym Prys-Davies
uk.org.publicwhip/lord/100028,uk.org.publicwhip/person/12875,Q1560656,John Attlee
uk.org.publicwhip/lord/100607,uk.org.publicwhip/person/13656,Q1570046,Albert Stallard
