person_id,speaker,person,personLabel
uk.org.publicwhip/person/25781,NA,http://www.wikidata.org/entity/Q16205127,"Ruth Hunt, Baroness Hunt of Bethnal Green"
uk.org.publicwhip/person/25782,NA,http://www.wikidata.org/entity/Q64747281,Simon Woolley
uk.org.publicwhip/person/25783,NA,http://www.wikidata.org/entity/Q67222742,Joanna Penn
uk.org.publicwhip/person/25786,NA,http://www.wikidata.org/entity/Q28421717,Stephen Parkinson
uk.org.publicwhip/person/25787,NA,http://www.wikidata.org/entity/Q67222938,Elizabeth Sanderson
uk.org.publicwhip/person/25788,NA,http://www.wikidata.org/entity/Q7289531,Rami Ranger
uk.org.publicwhip/person/25789,NA,http://www.wikidata.org/entity/Q67222729,Debbie Wilcox
uk.org.publicwhip/person/25790,NA,http://www.wikidata.org/entity/Q8065787,Zameer Choudrey
uk.org.publicwhip/person/25929,NA,http://www.wikidata.org/entity/Q6408545,Kim Darroch
uk.org.publicwhip/person/25937,NA,http://www.wikidata.org/entity/Q16745309,Stephen Greenhalgh
uk.org.publicwhip/person/25938,NA,http://www.wikidata.org/entity/Q23887856,Gerry Grimstone
uk.org.publicwhip/person/25939,NA,http://www.wikidata.org/entity/Q15779271,Julian Henderson
uk.org.publicwhip/person/25943,NA,http://www.wikidata.org/entity/Q5233879,David Frost
uk.org.publicwhip/person/25944,NA,NA,NA
uk.org.publicwhip/person/25946,NA,http://www.wikidata.org/entity/Q23762081,Helena Morrissey
uk.org.publicwhip/person/25947,NA,http://www.wikidata.org/entity/Q21592539,Daniel Moylan
uk.org.publicwhip/person/25948,NA,http://www.wikidata.org/entity/Q97949474,Aamer Sarfraz
uk.org.publicwhip/person/25949,NA,http://www.wikidata.org/entity/Q982121,Ian Botham
uk.org.publicwhip/person/25950,NA,http://www.wikidata.org/entity/Q4980846,Bryn Davies
uk.org.publicwhip/person/25951,NA,http://www.wikidata.org/entity/Q7922462,Veronica Wadley
uk.org.publicwhip/person/25952,NA,http://www.wikidata.org/entity/Q6989030,Neil Mendoza
uk.org.publicwhip/person/25953,NA,http://www.wikidata.org/entity/Q5081057,Charles Moore
uk.org.publicwhip/person/25954,NA,http://www.wikidata.org/entity/Q6769664,Mark Sedwill
uk.org.publicwhip/person/25955,NA,http://www.wikidata.org/entity/Q98318503,Andrew Sharpe
uk.org.publicwhip/person/25956,NA,http://www.wikidata.org/entity/Q49968583,Prem Sikka
uk.org.publicwhip/person/25957,NA,http://www.wikidata.org/entity/Q6834529,Michael Spencer
uk.org.publicwhip/person/25958,NA,http://www.wikidata.org/entity/Q5240783,David Walker
uk.org.publicwhip/person/25959,NA,http://www.wikidata.org/entity/Q7937879,Vivienne Faull
uk.org.publicwhip/person/25960,NA,http://www.wikidata.org/entity/Q18643416,Libby Lane
uk.org.publicwhip/person/25961,NA,http://www.wikidata.org/entity/Q5125204,Claire Fox
uk.org.publicwhip/person/25962,NA,http://www.wikidata.org/entity/Q6869403,Minouche Shafik
uk.org.publicwhip/person/25964,NA,http://www.wikidata.org/entity/Q101693608,"Keith Stewart, Baron Stewart of Dirleton"
uk.org.publicwhip/person/25965,NA,http://www.wikidata.org/entity/Q65930945,Edward Lister
uk.org.publicwhip/person/25966,NA,http://www.wikidata.org/entity/Q7823695,Tony Woodley
uk.org.publicwhip/person/25967,NA,http://www.wikidata.org/entity/Q2889271,Evgeny Lebedev
uk.org.publicwhip/person/25969,NA,http://www.wikidata.org/entity/Q104783350,"David Wolfson, Baron Wolfson of Tredegar"
uk.org.publicwhip/person/25970,NA,http://www.wikidata.org/entity/Q7701899,Terence Etherton
uk.org.publicwhip/person/25971,NA,http://www.wikidata.org/entity/Q7173465,Peter Cruddas
uk.org.publicwhip/person/25972,NA,http://www.wikidata.org/entity/Q463699,Jacqueline Foster
uk.org.publicwhip/person/25973,NA,http://www.wikidata.org/entity/Q104878447,Stephanie Fraser
uk.org.publicwhip/person/25974,NA,http://www.wikidata.org/entity/Q5246175,Dean Godson
uk.org.publicwhip/person/25975,NA,http://www.wikidata.org/entity/Q974023,Daniel Hannan
uk.org.publicwhip/person/25976,NA,http://www.wikidata.org/entity/Q1891910,Syed Kamall
uk.org.publicwhip/person/25977,NA,http://www.wikidata.org/entity/Q16873055,Simon McDonald
uk.org.publicwhip/person/25978,NA,http://www.wikidata.org/entity/Q740654,Gillian Merron
uk.org.publicwhip/person/25979,NA,http://www.wikidata.org/entity/Q15055710,Andrew Parker
uk.org.publicwhip/person/25980,NA,http://www.wikidata.org/entity/Q32066575,"Judith Blake, Baroness Blake of Leeds"
uk.org.publicwhip/person/25981,NA,http://www.wikidata.org/entity/Q31210746,Wajid Khan
uk.org.publicwhip/person/25982,NA,http://www.wikidata.org/entity/Q17180504,Amyas Morse
uk.org.publicwhip/person/25983,NA,http://www.wikidata.org/entity/Q7634019,Sue Black
uk.org.publicwhip/person/26035,NA,http://www.wikidata.org/entity/Q75243622,"Sebastian Grigg, 4th Baron Altrincham"
uk.org.publicwhip/person/26036,NA,http://www.wikidata.org/entity/Q7788516,"Thomas Coke, 8th Earl of Leicester"
uk.org.publicwhip/person/26037,NA,http://www.wikidata.org/entity/Q25939188,"Richard Denison, 9th Baron Londesborough"
uk.org.publicwhip/person/26038,NA,http://www.wikidata.org/entity/Q107276464,"Guy Mansfield, 6th Baron Sandhurst"
uk.org.publicwhip/person/26039,NA,http://www.wikidata.org/entity/Q32901575,Guli Francis-Dehqani
uk.org.publicwhip/person/26043,NA,http://www.wikidata.org/entity/Q17020440,Simon Stevens
uk.org.publicwhip/person/26044,NA,http://www.wikidata.org/entity/Q15994762,"Stephen Benn, 3rd Viscount Stansgate"
