person_id,family_name,given_name,item
uk.org.publicwhip/person/18366,Mayhew,Patrick,https://www.wikidata.org/wiki/Q334163
uk.org.publicwhip/person/18597,Newton,Tony,https://www.wikidata.org/wiki/Q333068
uk.org.publicwhip/person/21776,Hoyle,Doug,https://www.wikidata.org/wiki/Q279314
uk.org.publicwhip/person/21733,Hunt,David,https://www.wikidata.org/wiki/Q333909
uk.org.publicwhip/person/22041,Morris,Michael,https://www.wikidata.org/wiki/Q1928654
uk.org.publicwhip/person/16922,Chalker,Lynda,https://www.wikidata.org/wiki/Q1878797
uk.org.publicwhip/person/18907,Renton,Timothy,https://www.wikidata.org/wiki/Q2434248
uk.org.publicwhip/person/21966,Moore,John,https://www.wikidata.org/wiki/Q93557
uk.org.publicwhip/person/17039,Cope,John,https://www.wikidata.org/wiki/Q1699659
uk.org.publicwhip/person/17875,Hurd,Douglas,https://www.wikidata.org/wiki/Q337375
uk.org.publicwhip/person/22137,Hodgson,Robin,https://www.wikidata.org/wiki/Q1267670
uk.org.publicwhip/person/21964,Tomlinson,John,https://www.wikidata.org/wiki/Q125704
uk.org.publicwhip/person/17208,Douglas-Hamilton,James,https://www.wikidata.org/wiki/Q333795
uk.org.publicwhip/person/21831,Reid,George,https://www.wikidata.org/wiki/Q334480
uk.org.publicwhip/person/19424,Wakeham,John,https://www.wikidata.org/wiki/Q334298
uk.org.publicwhip/person/22593,Mackay,John,https://www.wikidata.org/wiki/Q6246107
uk.org.publicwhip/person/21720,Thomas,Dafydd Elis,https://www.wikidata.org/wiki/Q333841
uk.org.publicwhip/person/22181,Graham,Edward,https://www.wikidata.org/wiki/Q1292384
uk.org.publicwhip/person/22517,Howells,Geraint,https://www.wikidata.org/wiki/Q1418483
uk.org.publicwhip/person/22586,Fraser,Peter,https://www.wikidata.org/wiki/Q2074969
uk.org.publicwhip/person/17487,Garel-Jones,Tristan,https://www.wikidata.org/wiki/Q168235
uk.org.publicwhip/person/18418,McNally,Tom,https://www.wikidata.org/wiki/Q2426067
uk.org.publicwhip/person/17227,Dubs,Alfred,https://www.wikidata.org/wiki/Q2644901
uk.org.publicwhip/person/22591,Lee,John,https://www.wikidata.org/wiki/Q1306769
uk.org.publicwhip/person/22597,Patten,Chris,https://www.wikidata.org/wiki/Q23368
uk.org.publicwhip/person/19563,Woolmer,Ken,https://www.wikidata.org/wiki/Q1738920
uk.org.publicwhip/person/22255,Evans,John,https://www.wikidata.org/wiki/Q334048
uk.org.publicwhip/person/18050,Lang,Ian,https://www.wikidata.org/wiki/Q333030
uk.org.publicwhip/person/16469,Alton,David,https://www.wikidata.org/wiki/Q1173562
uk.org.publicwhip/person/22590,Hogg,Norman,https://www.wikidata.org/wiki/Q1999546
uk.org.publicwhip/person/22598,Patten,John,https://www.wikidata.org/wiki/Q175162
uk.org.publicwhip/person/22583,Dixon,Donald,https://www.wikidata.org/wiki/Q333656
uk.org.publicwhip/person/19427,Waldegrave,William,https://www.wikidata.org/wiki/Q332864
uk.org.publicwhip/person/18041,Lamborn,Harry,https://www.wikidata.org/wiki/Q5670442
uk.org.publicwhip/person/18146,Lofthouse,Geoffrey,https://www.wikidata.org/wiki/Q1503024
uk.org.publicwhip/person/22683,Pitt,Bill,https://www.wikidata.org/wiki/Q4910501
uk.org.publicwhip/person/19809,McElhone,Helen,https://www.wikidata.org/wiki/Q5702814
uk.org.publicwhip/person/18271,O'Brien,Ossie,https://www.wikidata.org/wiki/Q7107488
uk.org.publicwhip/person/22626,Randall,Stuart,https://www.wikidata.org/wiki/Q2357948
uk.org.publicwhip/person/18849,Raffan,Keith,https://www.wikidata.org/wiki/Q1738083
uk.org.publicwhip/person/22610,Carlile,Alex,https://www.wikidata.org/wiki/Q1739190
uk.org.publicwhip/person/22613,Forsyth,Michael,https://www.wikidata.org/wiki/Q334357
uk.org.publicwhip/person/17459,Freeman,Roger,https://www.wikidata.org/wiki/Q332859
uk.org.publicwhip/person/10618,Wallace,Jim,https://www.wikidata.org/wiki/Q333807
uk.org.publicwhip/person/18530,Moynihan,Colin,https://www.wikidata.org/wiki/Q129679
uk.org.publicwhip/person/22629,Ryder,Richard,https://www.wikidata.org/wiki/Q2150490
uk.org.publicwhip/person/20335,Shields,Elizabeth,https://www.wikidata.org/wiki/Q5363505
uk.org.publicwhip/person/10493,Quin,Joyce,https://www.wikidata.org/wiki/Q137911
uk.org.publicwhip/person/22646,Nicholson,Emma,https://www.wikidata.org/wiki/Q334097
uk.org.publicwhip/person/16411,Watson,Mike,https://www.wikidata.org/wiki/Q1929744
uk.org.publicwhip/person/16416,Carr,Mike,https://www.wikidata.org/wiki/Q6829128
uk.org.publicwhip/person/16419,Bellotti,David,https://www.wikidata.org/wiki/Q5231290
uk.org.publicwhip/person/16423,Carr,Michael,https://www.wikidata.org/wiki/Q6829127
uk.org.publicwhip/person/16429,Stephen,Nicol,https://www.wikidata.org/wiki/Q333630
uk.org.publicwhip/person/17477,Gallie,Phil,https://www.wikidata.org/wiki/Q333800
uk.org.publicwhip/person/21687,Davies,Bryan,https://www.wikidata.org/wiki/Q994984
uk.org.publicwhip/person/17745,Hendron,Joseph,https://www.wikidata.org/wiki/Q6210280
uk.org.publicwhip/person/22352,Bates,Michael,https://www.wikidata.org/wiki/Q1926893
uk.org.publicwhip/person/17004,Coe,Sebastian,https://www.wikidata.org/wiki/Q188502
uk.org.publicwhip/person/16384,Maddock,Diana,https://www.wikidata.org/wiki/Q1208851
uk.org.publicwhip/person/16396,Davies,Chris,https://www.wikidata.org/wiki/Q19957299
uk.org.publicwhip/person/10430,Merron,Gillian,https://www.wikidata.org/wiki/Q740654
uk.org.publicwhip/person/10078,Burnett,John,https://www.wikidata.org/wiki/Q336866
uk.org.publicwhip/person/14137,Mason,John,https://www.wikidata.org/wiki/Q1700987
uk.org.publicwhip/person/14017,Jamieson,Cathy,https://www.wikidata.org/wiki/Q727460
uk.org.publicwhip/person/25655,,,https://www.wikidata.org/wiki/Q21234823
uk.org.publicwhip/person/25663,,,https://www.wikidata.org/wiki/Q24034678
uk.org.publicwhip/person/25629,Girvan,Paul,https://www.wikidata.org/wiki/Q7150909
uk.org.publicwhip/person/25840,,,https://www.wikidata.org/wiki/Q27671735
uk.org.publicwhip/person/10247,Ainger,Nick,http://www.wikidata.org/entity/Q991654
uk.org.publicwhip/person/26086,Foord,Richard,http://www.wikidata.org/entity/Q98626667
uk.org.publicwhip/person/14031,MacAskill,Kenny,http://www.wikidata.org/entity/Q983174
uk.org.publicwhip/person/17163,Dell,Edmund,http://www.wikidata.org/entity/Q981574
uk.org.publicwhip/person/24910,Lucas,Caroline,http://www.wikidata.org/entity/Q9670
uk.org.publicwhip/person/19698,Alexander,Albert,http://www.wikidata.org/entity/Q964833
uk.org.publicwhip/person/13677,Ainger,Nick,http://www.wikidata.org/entity/Q9576
uk.org.publicwhip/person/10408,Major,John,http://www.wikidata.org/entity/Q9559
uk.org.publicwhip/person/10047,Blair,Tony,http://www.wikidata.org/entity/Q9545
uk.org.publicwhip/person/22132,Hudson,Robert,http://www.wikidata.org/entity/Q9310851
uk.org.publicwhip/person/22124,Cranborne,,http://www.wikidata.org/entity/Q9310800
uk.org.publicwhip/person/17637,Haire,John,http://www.wikidata.org/entity/Q926893
uk.org.publicwhip/person/21743,Howell,Denis,http://www.wikidata.org/entity/Q904004
uk.org.publicwhip/person/22489,Byers,Charles,http://www.wikidata.org/entity/Q8678953
uk.org.publicwhip/person/10317,Ainger,Nick,http://www.wikidata.org/entity/Q809053
uk.org.publicwhip/person/22252,Davies,Wyndham,http://www.wikidata.org/entity/Q8040106
uk.org.publicwhip/person/19734,Wyatt,Woodrow,http://www.wikidata.org/entity/Q8033220
uk.org.publicwhip/person/10246,Griffiths,Win,http://www.wikidata.org/entity/Q8023634
uk.org.publicwhip/person/21876,Harris,Henry,http://www.wikidata.org/entity/Q8023079
uk.org.publicwhip/person/22249,Hamilton,Willie,http://www.wikidata.org/entity/Q8021551
uk.org.publicwhip/person/19392,Van Straubenzee,William,http://www.wikidata.org/entity/Q8020928
uk.org.publicwhip/person/22217,Wilson,William,http://www.wikidata.org/entity/Q8020435
uk.org.publicwhip/person/19500,Whitlock,William,http://www.wikidata.org/entity/Q8020312
uk.org.publicwhip/person/22219,Whiteley,William,http://www.wikidata.org/entity/Q8020297
uk.org.publicwhip/person/19491,Wheeldon,William,http://www.wikidata.org/entity/Q8020253
